,Feature,Importance
57,CHEMONTID:0000270,0.02523713607354431
188,CHEBI:27024,0.023955575657272778
35,CHEMONTID:0000364,0.023304303603010293
22,CHEBI:33261,0.02048383038854122
0,CHEBI:22712,0.019487246082531478
50,CHEMONTID:0002448,0.019024602252541843
55,CHEMONTID:0000490,0.01894363227284537
16,CHEBI:33836,0.01890869286392697
51,CHEMONTID:0002279,0.01866595697308099
32,CHEMONTID:0000128,0.016943656276554434
58,CHEMONTID:0003137,0.015267083148649763
4,CHEBI:50492,0.013153623942465326
34,CHEMONTID:0001368,0.012815097580402715
47,CHEBI:35358,0.012337426775815799
44,CHEBI:76983,0.011964146594096732
94,CHEMONTID:0002286,0.010882766662723219
30,CHEMONTID:0002341,0.010084373328305475
18,CHEBI:35622,0.008827578957912082
128,CHEMONTID:0002239,0.008806637906363596
52,CHEMONTID:0000031,0.008701148363355126
1,CHEBI:35618,0.008646744553124787
131,CHEBI:50887,0.008493448965204103
46,CHEBI:33552,0.008141628217638856
2,CHEBI:50990,0.008023361766846676
53,CHEMONTID:0004233,0.007828890485411914
89,CHEMONTID:0002509,0.007664814643300491
31,CHEMONTID:0000228,0.007447538411775618
122,CHEMONTID:0002285,0.007424224989755689
26,CHEMONTID:0000002,0.0072597153082053075
220,CHEMONTID:0000469,0.0070166705647907125
190,CHEMONTID:0003276,0.006847577465197697
109,CHEMONTID:0003901,0.006679689861534998
81,CHEMONTID:0004603,0.006659965842742553
144,CHEBI:16670,0.006576361371612774
29,CHEMONTID:0004742,0.006513267785095457
42,CHEMONTID:0001831,0.006445822048264371
143,CHEBI:33709,0.0064387200799170645
204,CHEMONTID:0000127,0.006351237401172405
203,CHEMONTID:0002496,0.00624694000976646
82,CHEMONTID:0000323,0.006164803995735539
214,CHEMONTID:0001878,0.006106716991612618
113,CHEMONTID:0004144,0.006094326000899264
406,CHEBI:22531,0.006091461423593769
146,CHEBI:32877,0.005850347447946631
3,CHEBI:35356,0.005834651356050943
97,CHEMONTID:0000286,0.005567058810234933
77,CHEBI:32952,0.005463535469026527
192,CHEMONTID:0000218,0.005425702713196282
114,CHEMONTID:0003633,0.0054051595562902375
13,CHEBI:36586,0.005388488198947846
217,CHEMONTID:0001100,0.005133622018269171
326,CHEMONTID:0001091,0.004968692708010557
21,CHEBI:25698,0.0048711739565939095
160,CHEMONTID:0001205,0.0048502001893544824
208,CHEBI:18000,0.0047907907967413635
70,CHEBI:78616,0.004740947477282793
100,CHEBI:23665,0.0047303980440385265
112,CHEMONTID:0000229,0.004687661226549908
90,CHEMONTID:0002012,0.004685715964345976
49,CHEBI:35850,0.004638188839438025
407,CHEMONTID:0003964,0.004582143902517655
216,CHEMONTID:0003899,0.004570623721349431
7,CHEBI:38101,0.004536317794269733
147,CHEBI:32988,0.0045098185140273
17,CHEBI:24532,0.004434385770117351
117,CHEBI:17087,0.004420808117735312
68,CHEBI:15734,0.0043531554343767985
352,CHEMONTID:0000369,0.004261317618966145
33,CHEMONTID:0003033,0.004251108058132979
179,CHEBI:51683,0.004250559026391594
129,CHEBI:36683,0.004079582541525706
181,CHEMONTID:0000138,0.0039910186352682606
37,CHEMONTID:0004139,0.003977651932300616
130,CHEBI:36684,0.003889550713545153
290,CHEBI:48588,0.0038695426622145372
221,CHEMONTID:0001517,0.003786834750922524
350,CHEBI:39430,0.0037768473080642944
62,CHEBI:46942,0.003659408923164302
297,CHEMONTID:0002357,0.00364860017010836
396,CHEBI:17135,0.0035962326894836668
402,CHEMONTID:0001211,0.003547372683244102
140,CHEBI:37622,0.003475254849422399
91,CHEMONTID:0003675,0.003419728812022668
293,CHEBI:51689,0.0033727906506199473
372,CHEBI:52849,0.0033705647722041734
379,CHEMONTID:0004105,0.0033354887005190913
336,CHEBI:33308,0.0033017318052749596
69,CHEBI:61689,0.0032873016284813137
200,CHEBI:24897,0.003285883497697414
134,CHEMONTID:0001516,0.0032463845065265613
36,CHEMONTID:0004140,0.0031814331932190037
133,CHEMONTID:0001030,0.0031056359318028153
108,CHEBI:26421,0.0031051576084232067
110,CHEMONTID:0000283,0.003090105355893059
201,CHEBI:46766,0.0029738575522554826
218,CHEMONTID:0001031,0.0029717195503894903
71,CHEBI:18059,0.0029468677615106104
101,CHEBI:50996,0.0029366363219596424
285,CHEMONTID:0004343,0.0028913934141564846
148,CHEMONTID:0000264,0.0028594969160605187
381,CHEBI:63175,0.0028469371160064743
185,CHEBI:38313,0.0028392503913711657
153,CHEMONTID:0002551,0.0028359281974031244
393,CHEBI:37963,0.0027711033838095883
332,CHEMONTID:0001549,0.0027553119982811815
107,CHEBI:32876,0.002680735978854561
238,CHEBI:33853,0.0026772512686303682
78,CHEBI:32863,0.0026428276536223563
205,CHEMONTID:0003023,0.0026252833152439346
314,CHEMONTID:0000485,0.0025928777900456695
202,CHEMONTID:0000261,0.00259176481273659
11,CHEBI:25701,0.0025888726949717523
137,CHEBI:25409,0.0025470937802074085
157,CHEMONTID:0000188,0.002528661604782352
191,CHEMONTID:0000114,0.002512795864711006
159,CHEMONTID:0001137,0.0025079997360283168
189,CHEBI:24631,0.002486040369045946
354,CHEMONTID:0004472,0.002473144440013018
268,CHEMONTID:0000160,0.0024687210923044984
376,CHEBI:38102,0.0024421149288591884
212,CHEBI:68452,0.00243614039237687
351,CHEBI:51614,0.0024343769204876065
64,CHEBI:35681,0.0024164328892397405
325,CHEMONTID:0002204,0.002400407591216987
139,CHEBI:35338,0.0023820828325151087
38,CHEMONTID:0004557,0.002371937328825256
8,CHEBI:33302,0.0023566433315152543
377,CHEMONTID:0000098,0.0023522263875931137
391,CHEMONTID:0001925,0.002303033562780295
669,CHEMONTID:0001585,0.0022869282713280704
182,CHEMONTID:0004113,0.0022766287579512683
187,CHEBI:38260,0.002237079461119052
211,CHEBI:13759,0.0022184844981782475
401,CHEMONTID:0002951,0.0022176564514213514
141,CHEBI:29067,0.002193787711792669
39,CHEMONTID:0000278,0.0021668368614328327
282,CHEBI:17062,0.00216138119846208
284,CHEMONTID:0000129,0.002138084777389042
10,CHEBI:35352,0.0020968547927632908
20,CHEBI:25806,0.00209285775518705
92,CHEMONTID:0001897,0.0020682779003118805
330,CHEMONTID:0000012,0.002057983298839231
111,CHEMONTID:0003886,0.002045129790500102
288,CHEMONTID:0002510,0.0019563715361108837
6,CHEBI:38104,0.0019470973549206793
136,CHEBI:33575,0.0019335159897879675
161,CHEMONTID:0000347,0.001918124779584854
106,CHEBI:51151,0.0019051806795715494
48,CHEBI:47857,0.0018891446718780785
119,CHEMONTID:0000119,0.001888734535242857
378,CHEMONTID:0001693,0.0018756532431991213
400,CHEMONTID:0001334,0.0018734277705806743
105,CHEBI:33659,0.0018558474345643711
63,CHEBI:22478,0.0018470850899153638
93,CHEMONTID:0001661,0.001842499776755911
84,CHEMONTID:0001675,0.0018249907424060967
283,CHEBI:23480,0.001806165811951644
40,CHEMONTID:0003940,0.0017682377409244882
323,CHEMONTID:0004165,0.0017671123634990836
209,CHEBI:37143,0.0017498116233719207
383,CHEMONTID:0002010,0.0017469038462355146
132,CHEMONTID:0001099,0.0017369688566920881
327,CHEMONTID:0003481,0.0017355959595840018
333,CHEMONTID:0001564,0.0017283989410140119
398,CHEBI:2571,0.0016869355369575742
149,CHEMONTID:0000265,0.0016627436389682814
65,CHEBI:26191,0.0016089348778733628
5,CHEBI:36963,0.0016054568244429249
186,CHEMONTID:0000067,0.0015941174387180818
66,CHEBI:50995,0.0015907048197991436
296,CHEMONTID:0000291,0.0015803822166514834
328,CHEMONTID:0001167,0.0015494182744339498
271,CHEBI:33307,0.0014900033643326027
405,CHEMONTID:0000132,0.0014878597656813994
175,CHEMONTID:0000375,0.0014724478298795182
319,CHEBI:18133,0.0014710384926114096
83,CHEMONTID:0000011,0.00145001762935165
394,CHEBI:33823,0.00143873978972807
289,CHEBI:38337,0.0014383068769962674
280,CHEMONTID:0001292,0.0014140787011386986
193,CHEMONTID:0000089,0.0014135078140518746
73,CHEBI:52782,0.0014097814265541498
158,CHEMONTID:0001663,0.0013666836437715433
206,CHEMONTID:0001664,0.0013428505678826366
324,CHEMONTID:0001498,0.001339338151293463
272,CHEMONTID:0000023,0.0013227345765566112
361,CHEBI:22327,0.0012915925150933439
395,CHEBI:3992,0.0012862264108652076
286,CHEMONTID:0002674,0.0012663923120083062
95,CHEMONTID:0002228,0.0012474641831226728
373,CHEBI:38106,0.0012466494922132765
308,CHEBI:50893,0.0012392514515689663
207,CHEBI:48277,0.0012329157546996598
375,CHEBI:26588,0.0012201761903850089
397,CHEBI:26407,0.001219907171245812
371,CHEMONTID:0003862,0.001213314585011726
86,CHEMONTID:0002125,0.0012103752501907272
304,CHEBI:38530,0.0011995512769203199
331,CHEMONTID:0000259,0.001196095576928556
156,CHEMONTID:0000051,0.0011958101931404841
102,CHEBI:38207,0.0011665769107512519
355,CHEMONTID:0001540,0.0011603933991627888
61,CHEBI:50413,0.0011534722949353884
104,CHEBI:48901,0.001126953087829924
121,CHEMONTID:0003671,0.0011115481928302422
279,CHEMONTID:0001670,0.001092996757075269
76,CHEBI:30879,0.0010608384401480828
173,CHEBI:24436,0.0010588255903257052
382,CHEMONTID:0001813,0.0010443327980977077
275,CHEMONTID:0001198,0.0010434163290791757
162,CHEMONTID:0000060,0.0010412888393814864
242,CHEBI:24995,0.0010379406271768202
274,CHEMONTID:0001230,0.0010370415806297978
150,CHEMONTID:0000013,0.0010337760226745588
222,CHEMONTID:0001027,0.0010212030036446042
349,CHEBI:59777,0.0010161259154796392
72,CHEBI:61697,0.0010004069116552041
75,CHEBI:33822,0.0009930230344016642
301,CHEMONTID:0000517,0.0009842177642500124
184,CHEBI:38314,0.0009799255439574667
28,CHEMONTID:0003410,0.0009703789520806946
215,CHEMONTID:0000313,0.0009689045215080458
309,CHEBI:35875,0.0009685813517273171
120,CHEMONTID:0000321,0.0009655624875693907
126,CHEBI:26151,0.0009622913211796743
317,CHEMONTID:0001225,0.0009451674314523954
88,CHEMONTID:0002435,0.0009400038318712013
276,CHEBI:26878,0.0009343208968787035
399,CHEMONTID:0003909,0.0009303469264749473
80,CHEBI:47779,0.000905139902494408
298,CHEMONTID:0001262,0.0008862905812377375
103,CHEBI:5686,0.0008636482005683417
322,CHEBI:35381,0.0008618643805140294
24,CHEBI:22727,0.0008597313348753424
177,CHEMONTID:0003152,0.0008481274175101905
85,CHEMONTID:0000198,0.0008335264761085265
145,CHEBI:64611,0.0008265150382635846
312,CHEMONTID:0000245,0.0008207630595729203
27,CHEMONTID:0000123,0.000819576796960201
353,CHEMONTID:0001729,0.0008071233054060713
311,CHEMONTID:0001797,0.0008036851911615009
123,CHEMONTID:0000118,0.0007945557539990594
99,CHEMONTID:0000282,0.0007854030011391255
270,CHEBI:25477,0.0007828362924507679
23,CHEBI:51143,0.0007516304361381277
320,CHEBI:20857,0.0007503032299480529
269,CHEBI:47956,0.0007485647406574741
545,CHEBI:35692,0.0007470138288400527
392,CHEMONTID:0002450,0.0007222717665200634
96,CHEMONTID:0001656,0.000713002580289233
384,CHEMONTID:0000189,0.000712080438546939
67,CHEBI:59769,0.0006979791838006305
60,CHEBI:24400,0.0006933452696107421
356,CHEMONTID:0001316,0.0006926888831671127
300,CHEMONTID:0003890,0.000682892181267554
307,CHEBI:22512,0.0006827146634421245
118,CHEMONTID:0004298,0.00064826213649414
19,CHEBI:48891,0.0006459054956200561
365,CHEBI:16385,0.0006411681673551547
343,CHEMONTID:0000254,0.0006264692333797001
277,CHEBI:18379,0.0006263790876544203
287,CHEMONTID:0002647,0.0006147946035592891
403,CHEMONTID:0003889,0.0006128986744297154
240,CHEBI:24780,0.0006121486788601331
127,CHEMONTID:0000195,0.0006119304411500564
329,CHEMONTID:0002105,0.0006068341248311148
404,CHEMONTID:0003487,0.0006062358045162892
363,CHEBI:26144,0.0005958187107196534
342,CHEMONTID:0001238,0.0005855548661325176
292,CHEBI:39447,0.0005749740479320058
213,CHEBI:24469,0.000565954366994579
125,CHEMONTID:0004296,0.000554386910938841
546,CHEMONTID:0000346,0.0005540862757857949
219,CHEMONTID:0000099,0.0005531387098067136
273,CHEMONTID:0000510,0.0005253924736084567
98,CHEMONTID:0003305,0.0005234988219207161
263,CHEMONTID:0004646,0.0004997047706628631
281,CHEMONTID:0000362,0.0004975851931062987
124,CHEMONTID:0003670,0.0004675758871426903
278,CHEBI:23424,0.0004652639062844275
315,CHEMONTID:0001505,0.00043827838215858284
14,CHEBI:38443,0.00041290740938854163
59,CHEBI:50699,0.00040662481893477954
380,CHEMONTID:0002449,0.0004000321310919064
180,CHEBI:48378,0.0003998634812302107
318,CHEMONTID:0002311,0.00039033902390732124
294,CHEBI:47989,0.00038768778002216557
341,CHEMONTID:0002811,0.0003655554793065806
374,CHEMONTID:0001894,0.0003641499736121922
313,CHEMONTID:0000247,0.0003635455371825322
335,CHEBI:38976,0.00034279072760040293
360,CHEBI:46845,0.00034016541768423623
357,CHEBI:46848,0.0003163296346586742
999,CHEMONTID:0001508,0.0003160149258209729
940,CHEMONTID:0000285,0.0003040429361538886
344,CHEMONTID:0002463,0.0003032789428999916
74,CHEBI:17478,0.0002955012103757321
257,CHEMONTID:0001189,0.00029388941666388664
462,CHEBI:26912,0.0002879811557093062
299,CHEMONTID:0002202,0.0002879389674976317
165,CHEBI:22562,0.00028263486191812
12,CHEBI:72695,0.00027369580685756905
418,CHEBI:26455,0.0002662609248838296
306,CHEBI:22315,0.0002659441031807984
612,CHEBI:35344,0.0002640976100848922
556,CHEMONTID:0000075,0.00026381287448413624
693,CHEMONTID:0000505,0.0002513268595132089
210,CHEBI:35727,0.00024298934522733033
914,CHEBI:35605,0.00023411504043431807
235,CHEBI:22475,0.00022796894438038753
705,CHEBI:26513,0.00022556983229769415
316,CHEMONTID:0000279,0.00022233298505808553
614,CHEBI:35350,0.00022129491041056527
116,CHEBI:76224,0.00021675457374349395
174,CHEMONTID:0004707,0.0002127011010248104
79,CHEBI:28963,0.0002123314407453726
753,CHEMONTID:0000102,0.00021202588863694763
585,CHEBI:35748,0.00020895571464461815
651,CHEMONTID:0000134,0.00020564660765284674
880,CHEMONTID:0001101,0.0002033186454956765
569,CHEMONTID:0002458,0.00020316550962394954
183,CHEMONTID:0002484,0.00020061901780459064
239,CHEBI:29348,0.00019853559082631033
848,CHEBI:53095,0.000196501424457043
305,CHEBI:25810,0.00019496174884032103
291,CHEBI:38338,0.00019313757736435307
364,CHEBI:64709,0.00019030429925072544
920,CHEMONTID:0001162,0.0001898030774037272
655,CHEMONTID:0003073,0.00018879193737568592
260,CHEMONTID:0002309,0.00018511099018173448
1411,CHEMONTID:0000144,0.00017998709440950723
745,CHEBI:35627,0.00017666742693415487
511,CHEMONTID:0003865,0.0001731556193941053
512,CHEMONTID:0000004,0.00016988816740434758
777,CHEMONTID:0002389,0.00016793150974905928
417,CHEBI:24828,0.00016781002224511532
1021,CHEBI:38532,0.0001669348147138987
607,CHEMONTID:0004647,0.00016668466393076505
611,CHEBI:77166,0.00016490186785419618
169,CHEMONTID:0000284,0.00016028238489391403
321,CHEBI:26961,0.00016021325533107058
170,CHEMONTID:0004176,0.00015970372167067266
266,CHEMONTID:0001662,0.00015781008982011135
295,CHEMONTID:0001530,0.00015758330057771833
1161,CHEMONTID:0000309,0.00015051763900615948
818,CHEMONTID:0001984,0.00015038322239891447
551,CHEMONTID:0000211,0.00014981965672570546
163,CHEBI:22160,0.00014313290021072438
993,CHEBI:35715,0.00014295208090635625
909,CHEBI:36233,0.00013969232641120662
412,CHEMONTID:0000348,0.00013966334280026552
816,CHEMONTID:0001032,0.0001388329924167162
688,CHEMONTID:0000185,0.00013698048755923312
310,CHEBI:26401,0.00013669292992968558
588,CHEBI:24669,0.00013640269662352946
711,CHEMONTID:0001253,0.00013256508709407714
368,CHEMONTID:0003357,0.00012980326194826639
966,CHEBI:50047,0.00012821574433554968
533,CHEBI:35341,0.00012686430444423257
1114,CHEBI:37141,0.00012620807107960793
836,CHEMONTID:0004325,0.00012480809207190692
429,CHEMONTID:0001165,0.00012261730850205002
684,CHEMONTID:0000090,0.0001223411629861052
1729,CHEBI:24043,0.0001187157132131385
115,CHEBI:22187,0.00011675077078640097
1093,CHEMONTID:0001125,0.00011540082912904667
691,CHEBI:51681,0.00011401348382560892
719,CHEMONTID:0002414,0.0001113218787608358
337,CHEBI:36054,0.00011081355274016821
977,CHEBI:38329,0.00010602434622066615
151,CHEMONTID:0004321,0.00010410694615864462
654,CHEMONTID:0000035,0.00010335943948008039
171,CHEBI:24783,0.00010209346816731866
265,CHEMONTID:0000078,0.00010205496769846388
490,CHEMONTID:0003610,0.00010096558097524509
1148,CHEMONTID:0000513,9.967655867364349e-05
87,CHEMONTID:0002207,9.644450287128164e-05
338,CHEMONTID:0000176,9.453787058384893e-05
454,CHEBI:61120,9.402095623322272e-05
783,CHEMONTID:0002454,9.383971575906928e-05
596,CHEBI:46761,9.221418357768575e-05
1600,CHEMONTID:0000124,9.166883183921672e-05
912,CHEBI:23003,9.081653436477189e-05
726,CHEMONTID:0000178,9.081416709881309e-05
1740,CHEMONTID:0001583,9.035379060856147e-05
444,CHEBI:26079,8.985002121054832e-05
529,CHEMONTID:0000050,8.978525460072311e-05
991,CHEBI:33655,8.822095123510038e-05
857,CHEMONTID:0000081,8.716878942048875e-05
135,CHEBI:51569,8.675760160723168e-05
562,CHEBI:22702,8.330598352522052e-05
466,CHEBI:24868,8.318459492630314e-05
1389,CHEBI:38835,8.31458230729372e-05
1408,CHEBI:23238,8.260501100494092e-05
440,CHEBI:25340,8.23515302756367e-05
832,CHEBI:48953,8.161386279395484e-05
178,CHEMONTID:0000117,8.007659860510203e-05
390,CHEMONTID:0003260,7.884371438600226e-05
513,CHEBI:59554,7.84096769363428e-05
168,CHEMONTID:0002565,7.633796710657844e-05
1078,CHEBI:38099,7.544439902359534e-05
427,CHEBI:35363,7.431617825663676e-05
486,CHEMONTID:0002648,7.349775372086096e-05
142,CHEBI:25985,7.276855997197075e-05
685,CHEBI:33860,7.084669755015232e-05
846,CHEMONTID:0000048,7.035344329668161e-05
1338,CHEMONTID:0004712,6.956699197320095e-05
697,CHEMONTID:0000491,6.758611770027913e-05
2222,CHEMONTID:0001740,6.757332958233881e-05
56,CHEMONTID:0002023,6.739426771730805e-05
424,CHEMONTID:0004196,6.686133247252578e-05
789,CHEMONTID:0004209,6.52820115917215e-05
