,Feature,Importance
57,ATS4s,0.018460702631225397
1102,MAXsssCH,0.013797720168274151
806,WNSA2,0.013189584861688608
1563,VSA_EState5,0.012287620805211164
735,SpMAD_Dzare,0.012177919163276462
829,C2SP3,0.012148369286421774
722,SpMAD_Dzpe,0.011616821956611517
1558,EState_VSA10,0.011426510580622133
1288,ETA_dEpsilon_D,0.011344560843254293
42,ATS7dv,0.011292156179470034
648,BCUTs-1l,0.01088852691543695
436,AATSC5p,0.010798793219174178
305,ATSC0pe,0.010681591405805314
140,AATS6dv,0.009365231443599666
55,ATS2s,0.009266807008181237
1344,ZMIC2,0.008498184480987218
1533,SMR_VSA5,0.008409412719427566
1276,ETA_eta_BR,0.0077405649165890635
60,ATS7s,0.007738384155802653
53,ATS0s,0.007270785141030347
943,NaaCH,0.007160461723053538
737,SM1_Dzare,0.006893518244386728
1770,GGI1,0.00667746994832161
850,Xc-5dv,0.006581744601298096
143,AATS0d,0.006536654110111311
294,ATSC7v,0.0064968306029698705
234,ATSC1c,0.006396365405717162
709,SpMAD_Dzse,0.006378927313610887
761,SpMAD_Dzi,0.006285497655112695
260,ATSC0s,0.006045924668538087
799,FNSA5,0.005903440803314941
61,ATS8s,0.005869960461595477
1789,JGI10,0.005834854857608485
254,ATSC3d,0.005680128884299917
1578,MDEO-11,0.0056690305793363
1555,EState_VSA7,0.005647580197387226
1346,ZMIC4,0.005487104718183449
139,AATS5dv,0.00545488677061475
107,ATS0are,0.005417759481342768
848,Xc-3dv,0.005381063711466969
693,SpMax_Dzv,0.0053175544292722796
58,ATS5s,0.005197208171095237
503,MATS7v,0.0050648370140957575
89,ATS0se,0.005028078036909387
1602,PBF,0.0048379005983946975
759,SpDiam_Dzi,0.0047777143403782574
253,ATSC2d,0.004746590356905485
698,SM1_Dzv,0.004556082603274525
314,ATSC0are,0.0044857655852260595
3,nBase,0.004462115439921201
533,MATS5p,0.004199459616658448
41,ATS6dv,0.0041569208916029735
798,FNSA4,0.004147181794589048
176,AATS6m,0.004128902449885618
465,MATS1d,0.004097160682207502
466,MATS2d,0.004018830953474828
796,FNSA2,0.003954652716946191
750,SM1_Dzp,0.0039219381130245565
1787,JGI8,0.003743702559660419
402,AATSC7v,0.0037212720661824942
13,VR1_A,0.0036334292711632157
308,ATSC3pe,0.003623302578512362
1552,EState_VSA4,0.0036101377008172317
419,AATSC6pe,0.003603996612860937
1333,CIC3,0.003579841321937829
527,MATS7are,0.0035696733001496315
1564,VSA_EState6,0.0035505882822339714
410,AATSC6se,0.0034702217289308045
299,ATSC3se,0.003460566653246218
808,WNSA4,0.0034516084282904835
1312,TIC0,0.0034206170630582474
468,MATS4d,0.0033723250496814276
1265,AETA_eta_L,0.003315952959111006
1742,nFARing,0.0032891498780869654
1768,TopoPSA(NO),0.003258656048848636
1272,ETA_eta_FL,0.003234400483127655
372,AATSC4s,0.003204102896603962
924,SpMAD_D,0.0031759231227391784
1022,SaaCH,0.0031149977172167643
864,Xp-6d,0.0030994438189504763
748,SpMAD_Dzp,0.003081106624010042
825,C1SP2,0.003080662802050467
1709,nFHRing,0.003078419872358637
111,ATS4are,0.0030066299229520362
174,AATS4m,0.0029890916416604857
707,SpDiam_Dzse,0.0029694878092853334
791,DPSA2,0.0028677528073225017
255,ATSC4d,0.002858425590919098
317,ATSC3are,0.002824400713239466
362,AATSC3d,0.002811371584162491
1779,GGI10,0.002799987835786033
1325,BIC1,0.0027698842994519687
809,WNSA5,0.0027659359102272223
328,ATSC5p,0.0027417003482915403
1258,ETA_beta_ns,0.0027385948608859186
746,SpDiam_Dzp,0.0027315688582372232
109,ATS2are,0.0027188424830928404
1315,TIC3,0.0027176911233461488
749,LogEE_Dzp,0.0027053975501186577
136,AATS2dv,0.0026791223577891576
1331,CIC1,0.0026740476649071924
47,ATS3d,0.002654753364715365
126,ATS1i,0.0026384363066890588
264,ATSC4s,0.002635496820628495
778,nBondsKS,0.002612600536939892
65,ATS3Z,0.002583211809227755
1348,Kier1,0.0025748957967608077
781,PNSA2,0.0025502557958995264
1327,BIC3,0.002537541979982924
151,AATS8d,0.0025367872746301936
1824,mZagreb1,0.0025239348485559415
1185,MINaasC,0.002523386954600369
745,SpMax_Dzp,0.0025157482465669777
56,ATS3s,0.002494438039641495
407,AATSC3se,0.002490955804955003
856,Xpc-5dv,0.002479932455194659
683,SpMAD_Dzm,0.002459598358379752
670,SpMAD_DzZ,0.002422962982752381
664,BCUTi-1l,0.0024212593597035437
894,Spe,0.0024114847805964405
1311,IC5,0.0024053609523627386
15,VR3_A,0.0023774648835728084
1608,MPC7,0.0023679135346899235
202,AATS5pe,0.0023402838559113373
368,AATSC0s,0.002339363746232396
201,AATS4pe,0.0022907587848138237
214,AATS8are,0.002207719821219678
1527,PEOE_VSA12,0.0022030186645539767
1044,SsOH,0.0021885627796231783
499,MATS3v,0.0021791778672298227
476,MATS4s,0.0021767043044692872
178,AATS8m,0.002169313301973294
1261,AETA_beta_ns_d,0.0021390255225704337
361,AATSC2d,0.002132222156512654
84,ATS4v,0.002116020738196233
855,Xpc-4dv,0.002080492717773854
1338,MIC2,0.0020754020155294237
1310,IC4,0.002045002189443251
185,AATS6v,0.0020426029246242627
1521,PEOE_VSA6,0.002015545597208721
593,GATS1v,0.001967656368256283
1138,MAXdS,0.0019671361252514953
290,ATSC3v,0.0019439894577683186
1345,ZMIC3,0.0019182674190679908
242,ATSC0dv,0.0019132738546044953
347,AATSC6c,0.00190579922641269
1549,EState_VSA1,0.0019026699842251472
359,AATSC0d,0.001871921662390002
605,GATS5se,0.0018174482857077475
193,AATS5se,0.0018138860441165488
400,AATSC5v,0.0018040859901219375
1330,CIC0,0.0017888194479036806
1142,MAXddssS,0.0017798067417542924
541,MATS5i,0.0017783691023067238
638,GATS6i,0.0017735603867027505
425,AATSC3are,0.0017692926146756732
340,ATSC8i,0.0017692620717879464
1582,MDEN-12,0.001738904299833686
1283,ETA_epsilon_4,0.0017198906500908735
175,AATS5m,0.0017159536339635972
628,GATS4p,0.0017019647678195365
1610,MPC9,0.001692129235939013
222,AATS7p,0.00169133180504754
1765,RotRatio,0.0016784533596061507
164,AATS3Z,0.0016643607708800808
1287,ETA_dEpsilon_C,0.001663224440214905
615,GATS7pe,0.001663069053480508
950,NssssC,0.001640378627001783
147,AATS4d,0.0016393443662210832
654,BCUTv-1l,0.0016346677920070299
1334,CIC4,0.0016099461596233533
844,Xc-3d,0.0016039097826470686
157,AATS5s,0.0015991424026287886
1059,SdS,0.0015957052558427318
138,AATS4dv,0.00158546520211935
135,AATS1dv,0.0015560211674902303
1609,MPC8,0.0015266350766147895
1292,ETA_dPsi_A,0.0015240261113955882
206,AATS0are,0.0015166849262652307
1595,MID_O,0.001512559892990778
1101,MAXaaCH,0.0015025150829350389
1769,TopoPSA,0.0014949936415101003
1217,MINdS,0.0014777230404757597
1289,ETA_dBeta,0.0014675249649459623
1255,AETA_beta,0.0014670514987178951
530,MATS2p,0.0014658896664816242
661,BCUTp-1h,0.001429082580206918
363,AATSC4d,0.0014185492519236892
426,AATSC4are,0.0014107247529134021
177,AATS7m,0.0014082703190028865
887,AXp-5dv,0.0014024906985090984
263,ATSC3s,0.0013973825277557937
1611,MPC10,0.001383652666862567
94,ATS5se,0.0013748514826874203
872,AXp-6d,0.0013742698355138248
1547,SlogP_VSA10,0.0013729221158477812
467,MATS3d,0.001343381548165382
1583,MDEN-13,0.0013212252168408865
73,ATS2m,0.001319476959105465
456,MATS8c,0.0013125419016625235
145,AATS2d,0.0012841889710169497
1341,MIC5,0.001272599181232351
1752,nG12FARing,0.0012708124046348528
17,nAromBond,0.0012607607492787006
952,NsNH2,0.0012376773640589722
137,AATS3dv,0.0012374290718210627
594,GATS2v,0.0012190549368720372
510,MATS6se,0.0011895900238853853
779,nBondsKD,0.0011884641653797955
1326,BIC2,0.001185893355932722
16,nAromAtom,0.001176827944680229
134,AATS0dv,0.0011703594744342679
216,AATS1p,0.0011697538763338615
166,AATS5Z,0.001152929433022677
66,ATS4Z,0.0011471355028142114
106,ATS8pe,0.0011457264770164633
377,AATSC0Z,0.0011370015934458698
1782,JGI3,0.001130777145466457
607,GATS7se,0.0011250276454716824
453,MATS5c,0.0011246486862307476
821,RASA,0.0011231448515649513
292,ATSC5v,0.0011188774650969556
1291,ETA_psi_1,0.0011139654446027825
1572,MDEC-22,0.001108542856435252
342,AATSC1c,0.0010998805059403917
685,SM1_Dzm,0.0010936294253926632
120,ATS4p,0.001092695021137214
857,Xpc-6dv,0.0010895712195516272
181,AATS2v,0.001088665238639258
1180,MINaaCH,0.0010877166897749805
501,MATS5v,0.001086054710482438
886,AXp-4dv,0.00107827854089644
529,MATS1p,0.0010719924007250544
1534,SMR_VSA6,0.0010605373775140231
832,HybRatio,0.0010542989236162507
309,ATSC4pe,0.0010507390136578684
1538,SlogP_VSA1,0.001041279529856283
879,Xp-5dv,0.0010406404309413898
815,RNCG,0.0010390128893345643
62,ATS0Z,0.001031147196790896
241,ATSC8c,0.0010240927722534007
1332,CIC2,0.0010235586757038379
112,ATS5are,0.0010192135497182873
564,GATS4d,0.0010174419319758862
296,ATSC0se,0.0010148038178702525
345,AATSC4c,0.000998902519427631
1708,nG12FRing,0.0009824528097847768
865,Xp-7d,0.0009804332781214106
1309,IC3,0.0009674597813051975
1113,MAXssNH,0.000953402198982982
93,ATS4se,0.0009527171279891125
614,GATS6pe,0.0009489848776784657
262,ATSC2s,0.0009146346151750393
902,Mpe,0.0009072103717897398
1200,MINaasN,0.0009016941999641225
1788,JGI9,0.0008993472661316059
311,ATSC6pe,0.0008917627712616784
1561,VSA_EState3,0.0008817530182934728
1023,SsssCH,0.0008788225430781618
1601,MOMI-Z,0.0008718504632660734
1250,AETA_alpha,0.0008614592864059536
417,AATSC4pe,0.0008612683529789822
446,AATSC6i,0.0008581633098190424
784,PNSA5,0.0008564492378078694
428,AATSC6are,0.0008542242598238341
606,GATS6se,0.0008510539407127704
843,Xch-7dv,0.0008510448647306812
276,ATSC7Z,0.0008507627338228282
67,ATS5Z,0.0008467669862562048
74,ATS3m,0.000845115598969882
881,Xp-7dv,0.0008411490827542073
1347,ZMIC5,0.0008332692312321971
1526,PEOE_VSA11,0.0008179888943607842
492,MATS4m,0.0008174007128261406
643,BCUTdv-1h,0.0008104946257966227
877,Xp-3dv,0.0008070557414115216
1328,BIC4,0.0007997874055592898
215,AATS0p,0.0007908654165647414
1198,MINsssN,0.0007887071829702161
1559,VSA_EState1,0.0007886729720892911
846,Xc-5d,0.0007832918847374869
1106,MAXaasC,0.0007783047224281406
374,AATSC6s,0.000773897345791958
85,ATS5v,0.0007734656617397435
302,ATSC6se,0.00077131333773926
622,GATS6are,0.0007653535012129395
171,AATS1m,0.0007605286461893766
785,PPSA1,0.0007554564355770651
1562,VSA_EState4,0.0007542729160487034
720,SpDiam_Dzpe,0.0007538007650359587
1104,MAXtsC,0.0007459725163327875
408,AATSC4se,0.0007442687782010604
238,ATSC5c,0.0007315490037016728
168,AATS7Z,0.0007282654697282337
349,AATSC8c,0.0007221076181230251
1192,MINssNH,0.000721882325019271
1615,piPC3,0.000718305292132399
747,SpAD_Dzp,0.0007142310197339453
169,AATS8Z,0.0007136333436905394
300,ATSC4se,0.0007130362717424362
64,ATS2Z,0.0007129771139882196
459,MATS3dv,0.0007091022096272811
1027,SaasC,0.0007042242103993263
337,ATSC5i,0.0007028531734983005
1719,nG12FHRing,0.0006996515339245268
841,Xch-5dv,0.0006994831569314064
1804,MWC08,0.0006992604965803815
1524,PEOE_VSA9,0.0006962412298127132
548,GATS4c,0.0006895524685936076
331,ATSC8p,0.0006888489411661286
211,AATS5are,0.0006873476920050988
1031,SsNH2,0.0006827536244874511
550,GATS6c,0.0006742659632820431
1273,AETA_eta_FL,0.0006673110804248243
79,ATS8m,0.000662102447310787
461,MATS5dv,0.0006602103956355371
96,ATS7se,0.0006596798496190763
582,GATS6Z,0.0006479162838768967
1539,SlogP_VSA2,0.0006430890993622084
144,AATS1d,0.0006422311994446228
36,ATS1dv,0.0006411258201607869
119,ATS3p,0.0006358969617961435
1650,naRing,0.0006357304733868678
1350,Kier3,0.0006340838320263542
575,GATS7s,0.000631735516625239
506,MATS2se,0.0006292781859102134
409,AATSC5se,0.0006274776524320397
478,MATS6s,0.0006251074354806326
662,BCUTp-1l,0.0006227570859242697
375,AATSC7s,0.0006219152239578357
526,MATS6are,0.0006213009891682888
183,AATS4v,0.0006180029708192028
217,AATS2p,0.0006156183605757049
452,MATS4c,0.0006129928496157556
298,ATSC2se,0.0006094576183069977
507,MATS3se,0.0006049976699464009
585,GATS1m,0.0006041527514513692
321,ATSC7are,0.0006022366732778283
1307,IC1,0.0006000004269947815
227,AATS3i,0.0005980288713184348
1026,SdssC,0.0005961350905583645
398,AATSC3v,0.0005960221293420451
635,GATS3i,0.0005920587169115665
1260,ETA_beta_ns_d,0.0005920268780292724
1819,AMW,0.0005916622067035626
1028,SaaaC,0.0005882788879822781
167,AATS6Z,0.0005874901828849097
836,Xch-5d,0.0005829144195199084
44,ATS0d,0.0005815587889609219
1127,MAXsF,0.0005787251286469227
441,AATSC1i,0.0005781624773791033
1571,MDEC-14,0.0005751407494302791
1753,nFAHRing,0.000575091975605351
226,AATS2i,0.000572036900517901
1802,MWC06,0.0005700246909408476
1321,SIC3,0.000564592319194563
1108,MAXssssC,0.000563201242302358
68,ATS6Z,0.0005604387776982946
508,MATS4se,0.000559352530496154
498,MATS2v,0.0005584117915075889
339,ATSC7i,0.0005583396522153055
1340,MIC4,0.000555539616731071
634,GATS2i,0.0005527864605581872
204,AATS7pe,0.0005506648906373937
10,VE1_A,0.0005491986714773444
265,ATSC5s,0.0005489652038914303
1612,TMPC10,0.0005485138272294052
1519,PEOE_VSA4,0.0005389673603812866
580,GATS4Z,0.000538720729912128
733,SpDiam_Dzare,0.0005369608644755256
401,AATSC6v,0.0005348227612513316
14,VR2_A,0.0005335097203930622
960,NaaN,0.0005328112537302111
180,AATS1v,0.0005232167131095891
740,VE3_Dzare,0.0005230059423059028
251,ATSC0d,0.0005225814333815901
141,AATS7dv,0.0005196832804249815
612,GATS4pe,0.000518135939535487
