,Feature,Importance
353,CHEMONTID:0001729,0.5311023707749298
112,CHEMONTID:0000229,0.4978304603708763
810,CHEMONTID:0001819,0.4885612512359395
18,CHEBI:35622,0.4882681867227536
402,CHEMONTID:0001211,0.376584171633577
374,CHEMONTID:0001894,0.3738722831786159
55,CHEMONTID:0000490,0.35684267052807894
44,CHEBI:76983,0.35684267052801705
214,CHEMONTID:0001878,0.34096573107612344
84,CHEMONTID:0001675,0.33368966661883825
89,CHEMONTID:0002509,0.30735185670983994
1235,CHEMONTID:0003080,0.29896880103289375
369,CHEMONTID:0000226,0.29587076200024537
69,CHEBI:61689,0.29333674287617767
1534,CHEMONTID:0001920,0.28400995013602004
288,CHEMONTID:0002510,0.2817782602992553
200,CHEBI:24897,0.27143813305025594
4,CHEBI:50492,0.2588617887832798
1599,CHEMONTID:0001527,0.2518785680576285
314,CHEMONTID:0000485,0.2384471488295127
47,CHEBI:35358,0.2294836721532092
86,CHEMONTID:0002125,0.22307862846171403
393,CHEBI:37963,0.2192092267006277
203,CHEMONTID:0002496,0.21691746975276194
2159,CHEMONTID:0001672,0.21488699589225252
372,CHEBI:52849,0.20323807296235366
2150,CHEMONTID:0001650,0.1986458552846599
184,CHEBI:38314,0.1903204404272875
122,CHEMONTID:0002285,0.18825584496399286
5,CHEBI:36963,0.18059386596092114
204,CHEMONTID:0000127,0.17937157471620446
87,CHEMONTID:0002207,0.17476871762187218
379,CHEMONTID:0004105,0.17405264967262096
375,CHEBI:26588,0.1740526496726187
20,CHEBI:25806,0.17190076464688708
1874,CHEMONTID:0004802,0.17081700750154705
1500,CHEMONTID:0001895,0.17063421021706973
1991,CHEBI:25702,0.16389282276371528
1992,CHEMONTID:0002440,0.16389282276371525
1993,CHEMONTID:0003951,0.1638928227637152
46,CHEBI:33552,0.16341641908370313
973,CHEMONTID:0001820,0.16302813133166738
325,CHEMONTID:0002204,0.16255899210139005
174,CHEMONTID:0004707,0.16095264620040647
863,CHEMONTID:0000481,0.1573749449292048
1275,CHEMONTID:0001190,0.15711539093365925
1274,CHEBI:38127,0.15711539093365917
1539,CHEMONTID:0002651,0.1569221594045277
1537,CHEBI:78802,0.15692215940452767
1538,CHEMONTID:0002650,0.15692215940452764
1379,CHEMONTID:0004434,0.1566119587169695
267,CHEMONTID:0002800,0.1558138562403885
1024,CHEMONTID:0000115,0.15452868988910978
555,CHEMONTID:0001346,0.15247935941143612
2311,CHEMONTID:0004722,0.1508568814804014
320,CHEBI:20857,0.14610738751841712
1211,CHEMONTID:0001858,0.14583738288382642
1006,CHEMONTID:0000215,0.1445676876153867
397,CHEBI:26407,0.14439997710696034
323,CHEMONTID:0004165,0.1429841414489995
1598,CHEMONTID:0002334,0.14232217096454888
241,CHEBI:35489,0.14018640296184126
