,Model,Data Type,Accuracy,Precision,Recall,F1 Score,ROC AUC,balanced_acc,mcc
0,Logistic Regression,Cross-Validation Data,0.9982 ± 0.0021,0.9965 ± 0.0041,1.0000 ± 0.0000,0.9982 ± 0.0021,1.0000 ± 0.0000,0.9982 ± 0.0021,0.9965 ± 0.0042
1,Logistic Regression,Test Data,0.9854,0.5000,0.7778,0.6087,0.9351,0.8831,0.6169
2,BernoulliNB,Cross-Validation Data,0.9522 ± 0.0122,0.9431 ± 0.0227,0.9632 ± 0.0116,0.9528 ± 0.0113,0.9896 ± 0.0041,0.9522 ± 0.0122,0.9050 ± 0.0236
3,BernoulliNB,Test Data,0.9366,0.1429,0.6667,0.2353,0.8546,0.8036,0.2891
4,Multinomial Naive Bayes,Cross-Validation Data,0.9657 ± 0.0113,0.9396 ± 0.0195,0.9958 ± 0.0073,0.9668 ± 0.0106,0.9963 ± 0.0025,0.9657 ± 0.0113,0.9332 ± 0.0214
5,Multinomial Naive Bayes,Test Data,0.9431,0.1750,0.7778,0.2857,0.8764,0.8617,0.3522
6,Linear SVM,Cross-Validation Data,0.9989 ± 0.0025,0.9979 ± 0.0050,1.0000 ± 0.0000,0.9989 ± 0.0025,1.0000 ± 0.0000,0.9989 ± 0.0025,0.9979 ± 0.0050
7,Linear SVM,Test Data,0.9951,0.8750,0.7778,0.8235,0.9380,0.8881,0.8225
8,k-NN,Cross-Validation Data,0.9487 ± 0.0101,0.9072 ± 0.0168,1.0000 ± 0.0000,0.9512 ± 0.0092,0.9851 ± 0.0066,0.9487 ± 0.0100,0.9023 ± 0.0185
9,k-NN,Test Data,0.8943,0.1000,0.7778,0.1772,0.8620,0.8369,0.2548
10,Random Forest,Cross-Validation Data,0.9975 ± 0.0027,1.0000 ± 0.0000,0.9950 ± 0.0054,0.9975 ± 0.0027,1.0000 ± 0.0000,0.9975 ± 0.0027,0.9951 ± 0.0054
11,Random Forest,Test Data,0.9951,1.0000,0.6667,0.8000,0.9301,0.8333,0.8145
12,LDA,Cross-Validation Data,0.9692 ± 0.0078,0.9422 ± 0.0140,1.0000 ± 0.0000,0.9702 ± 0.0074,0.9837 ± 0.0117,0.9692 ± 0.0078,0.9403 ± 0.0148
13,LDA,Test Data,0.9545,0.2121,0.7778,0.3333,0.8541,0.8674,0.3916
14,SGD Classifier,Cross-Validation Data,0.9904 ± 0.0106,0.9884 ± 0.0173,0.9929 ± 0.0165,0.9905 ± 0.0106,0.9998 ± 0.0007,0.9904 ± 0.0106,0.9812 ± 0.0206
15,SGD Classifier,Test Data,0.9870,0.5385,0.7778,0.6364,0.9248,0.8839,0.6410
16,Lasso Regression,Cross-Validation Data,0.9972 ± 0.0036,0.9944 ± 0.0070,1.0000 ± 0.0000,0.9972 ± 0.0036,1.0000 ± 0.0000,0.9972 ± 0.0036,0.9944 ± 0.0071
17,Lasso Regression,Test Data,0.9837,0.4667,0.7778,0.5833,0.9378,0.8823,0.5952
18,Ridge Regression,Cross-Validation Data,0.9975 ± 0.0032,0.9951 ± 0.0064,1.0000 ± 0.0000,0.9975 ± 0.0032,1.0000 ± 0.0000,0.9975 ± 0.0032,0.9951 ± 0.0064
19,Ridge Regression,Test Data,0.9821,0.4375,0.7778,0.5600,0.9265,0.8815,0.5755
20,Elastic Net,Cross-Validation Data,0.9972 ± 0.0036,0.9944 ± 0.0070,1.0000 ± 0.0000,0.9972 ± 0.0036,1.0000 ± 0.0000,0.9972 ± 0.0036,0.9944 ± 0.0071
21,Elastic Net,Test Data,0.9870,0.5385,0.7778,0.6364,0.9351,0.8839,0.6410
22,Decision Tree,Cross-Validation Data,0.9933 ± 0.0059,0.9903 ± 0.0106,0.9965 ± 0.0042,0.9933 ± 0.0058,0.9933 ± 0.0059,0.9933 ± 0.0059,0.9866 ± 0.0116
23,Decision Tree,Test Data,0.9837,0.4667,0.7778,0.5833,0.8823,0.8823,0.5952
24,Gradient Boosting,Cross-Validation Data,0.9968 ± 0.0035,0.9993 ± 0.0024,0.9943 ± 0.0063,0.9968 ± 0.0035,0.9998 ± 0.0004,0.9968 ± 0.0035,0.9937 ± 0.0070
25,Gradient Boosting,Test Data,0.9902,0.7143,0.5556,0.6250,0.9604,0.7761,0.6252
