,Model,Data Type,Accuracy,Precision,Recall,F1 Score,ROC AUC,balanced_acc,mcc
0,Logistic Regression,Cross-Validation Data,0.5257 ± 0.0121,0.5133 ± 0.0066,1.0000 ± 0.0000,0.6783 ± 0.0058,0.6924 ± 0.0390,0.5257 ± 0.0122,0.1581 ± 0.0394
1,Logistic Regression,Test Data,0.0759,0.0181,1.0000,0.0356,0.5506,0.5299,0.0330
2,BernoulliNB,Cross-Validation Data,0.8622 ± 0.0273,0.7867 ± 0.0348,0.9975 ± 0.0043,0.8792 ± 0.0207,0.9614 ± 0.0152,0.8623 ± 0.0273,0.7533 ± 0.0439
3,BernoulliNB,Test Data,0.7362,0.0423,0.6667,0.0795,0.7335,0.7021,0.1180
4,Multinomial Naive Bayes,Cross-Validation Data,0.8992 ± 0.0259,0.8495 ± 0.0370,0.9726 ± 0.0109,0.9065 ± 0.0225,0.9263 ± 0.0272,0.8992 ± 0.0259,0.8078 ± 0.0473
5,Multinomial Naive Bayes,Test Data,0.8235,0.0532,0.5556,0.0971,0.7591,0.6919,0.1299
6,Linear SVM,Cross-Validation Data,0.5270 ± 0.0134,0.5140 ± 0.0072,1.0000 ± 0.0000,0.6789 ± 0.0063,0.6804 ± 0.0364,0.5270 ± 0.0137,0.1613 ± 0.0432
7,Linear SVM,Test Data,0.0759,0.0181,1.0000,0.0356,0.5493,0.5299,0.0330
8,k-NN,Cross-Validation Data,0.9220 ± 0.0206,0.8678 ± 0.0310,0.9975 ± 0.0060,0.9278 ± 0.0176,0.9759 ± 0.0106,0.9220 ± 0.0207,0.8544 ± 0.0360
9,k-NN,Test Data,0.8330,0.0353,0.3333,0.0638,0.6728,0.5875,0.0617
10,Random Forest,Cross-Validation Data,0.9996 ± 0.0014,0.9992 ± 0.0027,1.0000 ± 0.0000,0.9996 ± 0.0014,1.0000 ± 0.0000,0.9996 ± 0.0014,0.9992 ± 0.0027
11,Random Forest,Test Data,0.9848,1.0000,0.1111,0.2000,0.8897,0.5556,0.3308
12,LDA,Cross-Validation Data,0.9120 ± 0.0192,0.8532 ± 0.0265,0.9967 ± 0.0047,0.9192 ± 0.0162,0.9183 ± 0.0274,0.9120 ± 0.0193,0.8365 ± 0.0340
13,LDA,Test Data,0.8729,0.0857,0.6667,0.1519,0.8342,0.7716,0.2073
14,SGD Classifier,Cross-Validation Data,0.5889 ± 0.0829,0.5838 ± 0.0815,0.6475 ± 0.0657,0.6131 ± 0.0703,0.5875 ± 0.0808,0.5889 ± 0.0829,0.1790 ± 0.1668
15,SGD Classifier,Test Data,0.5598,0.0255,0.6667,0.0492,0.5991,0.6123,0.0585
16,Lasso Regression,Cross-Validation Data,0.4992 ± 0.0033,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3291 ± 0.0343,0.4992 ± 0.0019,-0.0118 ± 0.0265
17,Lasso Regression,Test Data,0.9810,0.3333,0.1111,0.1667,0.5182,0.5536,0.1847
18,Ridge Regression,Cross-Validation Data,0.9793 ± 0.0116,0.9630 ± 0.0227,0.9975 ± 0.0043,0.9798 ± 0.0111,0.9795 ± 0.0161,0.9793 ± 0.0116,0.9595 ± 0.0222
19,Ridge Regression,Test Data,0.9545,0.2000,0.5556,0.2941,0.7752,0.7585,0.3151
20,Elastic Net,Cross-Validation Data,0.4992 ± 0.0033,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.3291 ± 0.0343,0.4992 ± 0.0019,-0.0118 ± 0.0265
21,Elastic Net,Test Data,0.9810,0.3333,0.1111,0.1667,0.5182,0.5536,0.1847
22,Decision Tree,Cross-Validation Data,0.9892 ± 0.0083,0.9815 ± 0.0162,0.9975 ± 0.0043,0.9894 ± 0.0081,0.9892 ± 0.0083,0.9892 ± 0.0083,0.9787 ± 0.0163
23,Decision Tree,Test Data,0.9753,0.3000,0.3333,0.3158,0.6599,0.6599,0.3037
24,Gradient Boosting,Cross-Validation Data,0.9992 ± 0.0019,0.9984 ± 0.0037,1.0000 ± 0.0000,0.9992 ± 0.0018,1.0000 ± 0.0000,0.9992 ± 0.0019,0.9983 ± 0.0037
25,Gradient Boosting,Test Data,0.9886,1.0000,0.3333,0.5000,0.7154,0.6667,0.5740
