,Feature,Importance
35,CHEMONTID:0000364,0.28113315968092084
94,CHEMONTID:0002286,0.1932420798047431
0,CHEBI:22712,0.07413153473375293
44,CHEBI:76983,0.058618078293710754
22,CHEBI:33261,0.04642426713465826
55,CHEMONTID:0000490,0.045169482519929686
40,CHEMONTID:0003940,0.04028485435154198
214,CHEMONTID:0001878,0.032380863176724256
143,CHEBI:33709,0.029825660770201195
203,CHEMONTID:0002496,0.01828149048509497
4,CHEBI:50492,0.017582898833857143
51,CHEMONTID:0002279,0.01753183814867047
204,CHEMONTID:0000127,0.017395068116314662
89,CHEMONTID:0002509,0.009447326881266453
100,CHEBI:23665,0.00925001371607748
144,CHEBI:16670,0.008850191542105592
211,CHEBI:13759,0.008785528660067212
378,CHEMONTID:0001693,0.008587920646297941
217,CHEMONTID:0001100,0.007158867267337522
158,CHEMONTID:0001663,0.006546698250572863
26,CHEMONTID:0000002,0.0061598710568581865
16,CHEBI:33836,0.005339968166289886
375,CHEBI:26588,0.003497268201827892
128,CHEMONTID:0002239,0.003253564581191256
8,CHEBI:33302,0.002933213233145548
317,CHEMONTID:0001225,0.002904089120501659
290,CHEBI:48588,0.002591282924002137
669,CHEMONTID:0001585,0.002497253943546389
396,CHEBI:17135,0.0024222911359073045
42,CHEMONTID:0001831,0.002255575843193565
17,CHEBI:24532,0.0019151510311373797
81,CHEMONTID:0004603,0.0018784026476466715
307,CHEBI:22512,0.0014198431277019968
21,CHEBI:25698,0.0013860774791927637
218,CHEMONTID:0001031,0.001374788150669148
205,CHEMONTID:0003023,0.00130912309944552
297,CHEMONTID:0002357,0.0013082871416280307
379,CHEMONTID:0004105,0.0013020357406877251
159,CHEMONTID:0001137,0.0011101814990160488
462,CHEBI:26912,0.0010286240656501144
377,CHEMONTID:0000098,0.001012115408425438
146,CHEBI:32877,0.001005109263750902
67,CHEBI:59769,0.0008392207779884107
131,CHEBI:50887,0.0008198362700922003
188,CHEBI:27024,0.0007929001670701103
362,CHEBI:25693,0.0007618098937250028
157,CHEMONTID:0000188,0.0006823907848710599
97,CHEMONTID:0000286,0.0006624293669846582
