,Feature,Importance
1558,EState_VSA10,0.24194885215476686
1787,JGI8,0.09809191692219806
1547,SlogP_VSA10,0.07616007889390455
799,FNSA5,0.06687027507038402
1102,MAXsssCH,0.06524964302386571
1288,ETA_dEpsilon_D,0.03291968148137444
643,BCUTdv-1h,0.03185793065247869
750,SM1_Dzp,0.019414457064008524
139,AATS5dv,0.01734323765569062
1769,TopoPSA,0.01615811392732888
372,AATSC4s,0.01586295869540136
1517,PEOE_VSA2,0.01571606080383026
632,GATS8p,0.013520913956924237
1565,VSA_EState7,0.013424315936726217
664,BCUTi-1l,0.012485244403045492
1530,SMR_VSA2,0.011777117037480713
1563,VSA_EState5,0.011622232135128457
683,SpMAD_Dzm,0.010844656589276483
648,BCUTs-1l,0.01081347842806611
622,GATS6are,0.010647537431080616
1275,AETA_eta_B,0.01039560260524328
183,AATS4v,0.010016697620557858
1119,MAXsssN,0.009642624310526135
299,ATSC3se,0.009613912555345147
1793,TopoShapeIndex,0.008212088590693703
266,ATSC6s,0.007463535794538533
545,GATS1c,0.006864046332156555
1578,MDEO-11,0.006477213362611421
241,ATSC8c,0.0063414456793066155
841,Xch-5dv,0.006208263832754157
185,AATS6v,0.005024326602794371
255,ATSC4d,0.004889827559608036
290,ATSC3v,0.0047904494204175025
234,ATSC1c,0.004452746169848152
359,AATSC0d,0.004300106229167841
1579,MDEO-12,0.004231952334574889
1709,nFHRing,0.004198549615865992
253,ATSC2d,0.003919529533188897
1139,MAXssS,0.0036206815795776295
1583,MDEN-13,0.003261096860812391
1794,PetitjeanIndex,0.003246211872385645
1260,ETA_beta_ns_d,0.0032203412940405734
1138,MAXdS,0.003125841818989337
904,Mp,0.002898552484489177
1779,GGI10,0.0027712441486177227
593,GATS1v,0.002673945223571781
215,AATS0p,0.0025483628395598494
1252,ETA_shape_y,0.0024577320085043645
1539,SlogP_VSA2,0.0024446724623409864
1698,nFRing,0.00237849856684665
872,AXp-6d,0.0019942115408761734
645,BCUTd-1h,0.001802323469145336
179,AATS0v,0.0017684777646670877
419,AATSC6pe,0.0016142803613732682
264,ATSC4s,0.0015912238007717494
952,NsNH2,0.001563689033157627
1192,MINssNH,0.001451718644505821
847,Xc-6d,0.0014212986668836083
362,AATSC3d,0.001403295694981814
1222,MINsCl,0.001295337556576625
629,GATS5p,0.0012773663482557823
140,AATS6dv,0.0012720261801586604
434,AATSC3p,0.0011547027109825986
1533,SMR_VSA5,0.0011154393843849583
1520,PEOE_VSA5,0.0010497334418535038
258,ATSC7d,0.0010259345221331907
781,PNSA2,0.000967045690654391
53,ATS0s,0.0009404965074795824
1040,SsssN,0.0008742469197179648
1060,SssS,0.0008256775515402968
1555,EState_VSA7,0.0007868447332784227
260,ATSC0s,0.0007744263307315536
307,ATSC2pe,0.0007395666716041437
1541,SlogP_VSA4,0.0007389591064605822
961,NsssN,0.0007248340276406408
1594,AMID_N,0.000723620092922171
1516,PEOE_VSA1,0.0007226148490602333
1690,n6AHRing,0.000683974726963742
1572,MDEC-22,0.0006671997123922195
594,GATS2v,0.0006551609685868677
1525,PEOE_VSA10,0.0006506310438948949
1557,EState_VSA9,0.0006135571000396466
1559,VSA_EState1,0.0006105912444824876
798,FNSA4,0.0005952695892643358
669,SpAD_DzZ,0.0005940812496379541
370,AATSC2s,0.0005601043440829064
588,GATS4m,0.0005578320054056888
550,GATS6c,0.0005125445918740492
1042,SaasN,0.0005091521214572751
1593,MID_N,0.0004729546706565729
1791,Diameter,0.00045957142741076974
607,GATS7se,0.00045552518553721973
1311,IC5,0.0004502243701358791
276,ATSC7Z,0.000401208301349924
825,C1SP2,0.00038902182921947713
606,GATS6se,0.00038189586521432417
1765,RotRatio,0.00037481040458894676
1521,PEOE_VSA6,0.00034591142471724387
187,AATS8v,0.00032887680696103296
1344,ZMIC2,0.00032440656110703183
466,MATS2d,0.00031746298982315374
1297,GeomRadius,0.00031712747585987256
1764,nRot,0.000288881173261312
349,AATSC8c,0.00028038244754899567
247,ATSC5dv,0.0002779059841283222
222,AATS7p,0.00027647672944289893
551,GATS7c,0.0002720138916891564
245,ATSC3dv,0.00027059797050751135
653,BCUTv-1h,0.0002691759840555971
807,WNSA3,0.0002682273090691355
1817,TSRW10,0.0002644907269245233
1584,MDEN-22,0.0002458728090765087
35,ATS0dv,0.0002457885421154909
1782,JGI3,0.00023896868401660713
651,BCUTm-1h,0.00023129566389485002
586,GATS2m,0.00022929558708103918
56,ATS3s,0.00021967801958210667
55,ATS2s,0.00020477838587653084
386,AATSC0m,0.00020040003372536055
636,GATS4i,0.00020000741752000298
1349,Kier2,0.00019792386689613926
1034,SssNH,0.00019695385253630003
850,Xc-5dv,0.00019524202848299023
374,AATSC6s,0.00019443842612836814
698,SM1_Dzv,0.00017872320473685447
106,ATS8pe,0.0001752971444579447
1180,MINaaCH,0.0001716853288841951
924,SpMAD_D,0.00016751210737879423
782,PNSA3,0.00016551719339656743
317,ATSC3are,0.00016236818100863826
685,SM1_Dzm,0.0001580131543575783
1031,SsNH2,0.00015652827417531433
417,AATSC4pe,0.00014392130250021713
408,AATSC4se,0.00013969703686325975
1044,SsOH,0.00013004753226709316
268,ATSC8s,0.00012841834239571404
1589,MID_h,0.00012577753831424896
563,GATS3d,0.0001252496490603501
334,ATSC2i,0.00012016264481942151
508,MATS4se,0.00011761789217815772
435,AATSC4p,0.00011705374475657467
1045,SdO,0.00011499690296569287
833,FCSP3,0.00011295672062415412
1573,MDEC-23,0.00010878116733590762
12,VE3_A,9.75869343585083e-05
465,MATS1d,9.532905140089273e-05
340,ATSC8i,9.059358632819835e-05
1601,MOMI-Z,9.03043668288534e-05
582,GATS6Z,9.017817194623911e-05
1100,MAXdsCH,8.939982551924555e-05
761,SpMAD_Dzi,8.913733654623525e-05
1552,EState_VSA4,8.887119980877377e-05
3,nBase,8.437320436014656e-05
133,ATS8i,8.384907298865935e-05
1599,MOMI-X,7.967808177817942e-05
198,AATS1pe,7.874795828261348e-05
696,SpMAD_Dzv,7.675264794818722e-05
511,MATS7se,7.392977511587967e-05
1789,JGI10,6.928807192060493e-05
176,AATS6m,6.398870977343532e-05
600,GATS8v,6.316091321893142e-05
1113,MAXssNH,6.210899902506838e-05
749,LogEE_Dzp,6.19941459500651e-05
817,RNCS,6.15769239036891e-05
1654,n6aRing,6.042104342945648e-05
1019,SssCH2,6.035188986506752e-05
57,ATS4s,5.645752484768951e-05
195,AATS7se,5.5543344800062064e-05
784,PNSA5,5.3967173765223964e-05
1254,ETA_beta,5.291777853628854e-05
270,ATSC1Z,4.785537916203468e-05
1519,PEOE_VSA4,4.668778918157936e-05
808,WNSA4,4.521134610152567e-05
416,AATSC3pe,4.456810556756392e-05
457,MATS1dv,4.4484912189286796e-05
1202,MINsOH,4.397447284554396e-05
628,GATS4p,4.2367283894990195e-05
1324,BIC0,4.182482843172242e-05
844,Xc-3d,4.087144667544425e-05
1564,VSA_EState6,4.078847817432516e-05
281,ATSC3m,3.8756531167560985e-05
944,NsssCH,3.861746264003004e-05
373,AATSC5s,3.8327083505618294e-05
52,ATS8d,3.8166141221212025e-05
818,RPCS,3.6689071504935796e-05
947,NdssC,3.595073306062259e-05
1179,MINdsCH,3.4572025349024665e-05
805,WNSA1,3.3014701529717035e-05
1023,SsssCH,3.190869693014499e-05
1022,SaaCH,3.048275894598892e-05
64,ATS2Z,3.0013322219567613e-05
259,ATSC8d,2.9541194924219073e-05
1259,AETA_beta_ns,2.726556248786135e-05
1299,GeomPetitjeanIndex,2.6931124367107494e-05
556,GATS4dv,2.6777395321924875e-05
663,BCUTi-1h,2.594692692262023e-05
45,ATS1d,2.5418834141737283e-05
882,AXp-0dv,2.3423371012045653e-05
14,VR2_A,2.3404200798487407e-05
763,SM1_Dzi,2.2367204182232497e-05
213,AATS7are,2.131983848872754e-05
1527,PEOE_VSA12,2.1212942479872418e-05
809,WNSA5,2.0579773910825362e-05
1550,EState_VSA2,2.0344307231226598e-05
1255,AETA_beta,2.0112952767637473e-05
1261,AETA_beta_ns_d,1.96650908319944e-05
819,TASA,1.9627917072234298e-05
565,GATS5d,1.821528603949852e-05
15,VR3_A,1.7957473656438972e-05
1776,GGI7,1.7289945061197722e-05
1325,BIC1,1.7215798063951892e-05
574,GATS6s,1.68924711494247e-05
900,Mv,1.6097780629252535e-05
1203,MINdO,1.5339722839834494e-05
706,SpMax_Dzse,1.4975509044807705e-05
1279,ETA_dAlpha_B,1.4282818254560578e-05
510,MATS6se,1.4184145382383298e-05
297,ATSC1se,1.3767462294142273e-05
515,MATS3pe,1.3315243789122912e-05
1176,MINdCH2,1.3148866169822195e-05
162,AATS1Z,1.2975613337833406e-05
549,GATS5c,1.2620965285560495e-05
1295,fMF,1.2276734052279955e-05
1271,AETA_eta_F,1.1868345813674267e-05
353,AATSC3dv,1.1241545641768023e-05
925,LogEE_D,1.08949118315284e-05
507,MATS3se,1.0445225660750607e-05
1624,apol,9.93357745036672e-06
54,ATS1s,9.571901894259505e-06
1561,VSA_EState3,9.492846612285797e-06
1101,MAXaaCH,9.341706197299234e-06
516,MATS4pe,8.771664095433397e-06
1642,n6HRing,8.608895624628507e-06
899,Mm,8.544428343191921e-06
107,ATS0are,8.037523876860044e-06
421,AATSC8pe,7.716544843879247e-06
1784,JGI5,7.649449573272438e-06
1296,GeomDiameter,7.063056795943179e-06
332,ATSC0i,6.813482786250893e-06
641,BCUTc-1h,6.601130540750054e-06
1218,MINssS,5.468515294897975e-06
128,ATS3i,5.176729953330783e-06
796,FNSA2,5.097203348789174e-06
832,HybRatio,5.0331207477476e-06
1748,n9FARing,4.705213222435058e-06
1025,StsC,4.568049170061784e-06
1524,PEOE_VSA9,4.5061712636868275e-06
1181,MINsssCH,4.4465591991494105e-06
853,Xpc-5d,4.418981455900678e-06
1198,MINsssN,4.139687837939256e-06
558,GATS6dv,4.125247641452244e-06
1121,MAXaasN,3.97031557236134e-06
1110,MAXsNH2,3.955169012484766e-06
726,VE2_Dzpe,3.604180991106873e-06
