,Feature,Importance
44,CHEBI:76983,0.03401381628717384
188,CHEBI:27024,0.025757265412270795
35,CHEMONTID:0000364,0.02412994011130164
55,CHEMONTID:0000490,0.023450807402340425
51,CHEMONTID:0002279,0.019748948981112433
50,CHEMONTID:0002448,0.019303078602468295
53,CHEMONTID:0004233,0.01863151987639013
52,CHEMONTID:0000031,0.01681035356386461
22,CHEBI:33261,0.016375409532532872
49,CHEBI:35850,0.015475472720243199
47,CHEBI:35358,0.0151487864218319
57,CHEMONTID:0000270,0.014483136444117334
4,CHEBI:50492,0.013992082211289577
16,CHEBI:33836,0.013543241109215617
94,CHEMONTID:0002286,0.011856847137961932
0,CHEBI:22712,0.011673816651046881
32,CHEMONTID:0000128,0.011362528398375208
33,CHEMONTID:0003033,0.011285092451235847
30,CHEMONTID:0002341,0.010987962737274405
42,CHEMONTID:0001831,0.009596357032305405
128,CHEMONTID:0002239,0.009595315374441377
31,CHEMONTID:0000228,0.009025785862057193
1,CHEBI:35618,0.008873064046598081
46,CHEBI:33552,0.008606703171195242
97,CHEMONTID:0000286,0.008337410780077917
58,CHEMONTID:0003137,0.008076425293529041
81,CHEMONTID:0004603,0.007652258515019698
392,CHEMONTID:0002450,0.007410802618773207
109,CHEMONTID:0003901,0.00723483654964323
29,CHEMONTID:0004742,0.0071549015149395085
68,CHEBI:15734,0.0069866148481684065
406,CHEBI:22531,0.006665663497416698
92,CHEMONTID:0001897,0.006540605401798095
18,CHEBI:35622,0.0065359023736619405
26,CHEMONTID:0000002,0.006500568451422491
391,CHEMONTID:0001925,0.006444742664833467
113,CHEMONTID:0004144,0.006317957950222084
100,CHEBI:23665,0.006295023994164521
143,CHEBI:33709,0.00605359293748073
90,CHEMONTID:0002012,0.0060331873816928125
19,CHEBI:48891,0.006003447855075923
144,CHEBI:16670,0.005936595641382734
2,CHEBI:50990,0.005908401952386453
17,CHEBI:24532,0.005740152593893044
105,CHEBI:33659,0.00557281031149383
40,CHEMONTID:0003940,0.005507777026258495
146,CHEBI:32877,0.005372669205421031
39,CHEMONTID:0000278,0.005314567790957293
136,CHEBI:33575,0.005239383123941857
13,CHEBI:36586,0.005163400984008972
323,CHEMONTID:0004165,0.0049646346206346035
217,CHEMONTID:0001100,0.004878834255097332
21,CHEBI:25698,0.004816278173347047
159,CHEMONTID:0001137,0.004813713740869722
206,CHEMONTID:0001664,0.004614224249269003
11,CHEBI:25701,0.004594347609842049
10,CHEBI:35352,0.004575935308706694
205,CHEMONTID:0003023,0.004487959367645618
407,CHEMONTID:0003964,0.004356505256323629
200,CHEBI:24897,0.0042843343295001874
131,CHEBI:50887,0.004270657024821499
63,CHEBI:22478,0.004270293814238088
69,CHEBI:61689,0.004268487639943507
107,CHEBI:32876,0.00425362676749365
8,CHEBI:33302,0.004194578514427242
141,CHEBI:29067,0.0039379158395430195
126,CHEBI:26151,0.0038481783941045904
220,CHEMONTID:0000469,0.003841040764915245
378,CHEMONTID:0001693,0.0038210370582061693
62,CHEBI:46942,0.0037314129298673207
64,CHEBI:35681,0.0037037722605755136
204,CHEMONTID:0000127,0.0036702575905499545
130,CHEBI:36684,0.0036141883717104605
