,Feature,Importance
1102,MAXsssCH,0.02450282550099951
1547,SlogP_VSA10,0.018794426289685362
750,SM1_Dzp,0.010654963989425828
260,ATSC0s,0.010455687708960793
234,ATSC1c,0.009887923700570287
1276,ETA_eta_BR,0.009827816383882998
1288,ETA_dEpsilon_D,0.009604639983368034
1787,JGI8,0.009525895234967212
253,ATSC2d,0.00924880936154398
696,SpMAD_Dzv,0.008908138998531028
651,BCUTm-1h,0.00888434274346884
711,SM1_Dzse,0.008187503241990012
1578,MDEO-11,0.008176090148377023
648,BCUTs-1l,0.007902004583008874
664,BCUTi-1l,0.0077374940096264855
1558,EState_VSA10,0.007454061608830779
1770,GGI1,0.007389702389053697
1273,AETA_eta_FL,0.0072572997665796566
410,AATSC6se,0.007042635609699635
748,SpMAD_Dzp,0.00695596039162512
466,MATS2d,0.0068203864947216945
806,WNSA2,0.006522018405932854
698,SM1_Dzv,0.006401738776524905
815,RNCG,0.006364715756261821
255,ATSC4d,0.006136138072446569
359,AATSC0d,0.00576144464427879
649,BCUTZ-1h,0.00565227588360776
763,SM1_Dzi,0.005624087802121059
1589,MID_h,0.005491252308310779
165,AATS4Z,0.005435760436552717
794,DPSA5,0.005429106151933059
1034,SssNH,0.005389105900206934
1350,Kier3,0.005119117427148671
57,ATS4s,0.005064417044361269
134,AATS0dv,0.005041461603719961
372,AATSC4s,0.004945633409093376
55,ATS2s,0.004864727706237052
820,TPSA,0.004612627566618106
653,BCUTv-1h,0.004508279320196467
561,GATS1d,0.004457543732265762
808,WNSA4,0.004374282679762884
1782,JGI3,0.00418544211152863
759,SpDiam_Dzi,0.00416992948903017
670,SpMAD_DzZ,0.0039756289883586685
185,AATS6v,0.003928439311595315
807,WNSA3,0.00392530597350646
476,MATS4s,0.0038629199552575482
1552,EState_VSA4,0.003859318263762593
428,AATSC6are,0.0037550545305711225
1698,nFRing,0.003727983223960622
1521,PEOE_VSA6,0.0036733736455961084
518,MATS6pe,0.003656933849886109
290,ATSC3v,0.0036022243841982225
829,C2SP3,0.003473904887950794
1789,JGI10,0.0034731810496561244
799,FNSA5,0.0034248332818039885
792,DPSA3,0.0034008363648693864
182,AATS3v,0.003364734915354576
141,AATS7dv,0.003320019843363514
139,AATS5dv,0.003234665300435405
368,AATSC0s,0.0032223337858066203
1180,MINaaCH,0.0032141820364320036
305,ATSC0pe,0.00320222904867704
407,AATSC3se,0.0029989285179329887
1768,TopoPSA(NO),0.0029780239882762315
793,DPSA4,0.002952436039994304
526,MATS6are,0.002949185852251647
833,FCSP3,0.0028946151182299654
1255,AETA_beta,0.002877551031455461
147,AATS4d,0.0028467521506972304
166,AATS5Z,0.0028376593812080523
550,GATS6c,0.0028235139309297093
622,GATS6are,0.0028122641314242513
809,WNSA5,0.0027628962129795775
1774,GGI5,0.002717695989572362
1549,EState_VSA1,0.0026885023968148776
1784,JGI5,0.0026616645539352494
1793,TopoShapeIndex,0.0026490359497071425
724,SM1_Dzpe,0.0026417425167247492
164,AATS3Z,0.0026333758695776767
796,FNSA2,0.0026229662649300657
737,SM1_Dzare,0.0026032287616431795
317,ATSC3are,0.0026022971756695353
6,SpDiam_A,0.0026019725452271613
904,Mp,0.002591467306457014
302,ATSC6se,0.002584957609679089
1794,PetitjeanIndex,0.002552370136922677
