,Feature,Importance
18,CHEBI:35622,0.5877166417548075
112,CHEMONTID:0000229,0.5568243361377039
94,CHEMONTID:0002286,0.48376537056067387
55,CHEMONTID:0000490,0.4756705054718337
44,CHEBI:76983,0.47567050547180356
402,CHEMONTID:0001211,0.47170215436106555
700,CHEMONTID:0001861,0.39230169932333897
777,CHEMONTID:0002389,0.36517756502947035
810,CHEMONTID:0001819,0.36268332056242725
214,CHEMONTID:0001878,0.3578081177801584
203,CHEMONTID:0002496,0.3565801360932302
288,CHEMONTID:0002510,0.3471337364542511
4,CHEBI:50492,0.3421895326704495
1534,CHEMONTID:0001920,0.3246329477846165
1496,CHEMONTID:0001879,0.3149795992744831
393,CHEBI:37963,0.30212422805896627
775,CHEBI:22693,0.28820246692963136
384,CHEMONTID:0000189,0.28456843478205174
1201,CHEMONTID:0002966,0.2702641872047372
362,CHEBI:25693,0.2666177817251253
87,CHEMONTID:0002207,0.2560737315026489
79,CHEBI:28963,0.24116390872689836
1599,CHEMONTID:0001527,0.24099301208426263
369,CHEMONTID:0000226,0.2383716759228943
973,CHEMONTID:0001820,0.2335827281735068
799,CHEMONTID:0003881,0.22707381912681782
1235,CHEMONTID:0003080,0.2269135330167059
353,CHEMONTID:0001729,0.226814478073205
1312,CHEMONTID:0000086,0.22585897615219946
555,CHEMONTID:0001346,0.22288590358584692
390,CHEMONTID:0003260,0.2199365707858531
327,CHEMONTID:0003481,0.21620381473730352
1596,CHEMONTID:0004787,0.2049616668705687
299,CHEMONTID:0002202,0.19502191952910067
1180,CHEBI:48120,0.18945811769676688
1181,CHEMONTID:0002106,0.1894581176967668
2355,CHEMONTID:0000166,0.18679016863388404
1552,CHEMONTID:0002308,0.1863705387300297
704,CHEBI:23765,0.18250650047774505
712,CHEMONTID:0002552,0.18173964304990362
640,CHEMONTID:0002460,0.1800713268209142
776,CHEMONTID:0000292,0.17748030216337018
713,CHEMONTID:0001144,0.1760997857120479
323,CHEMONTID:0004165,0.17489074595938686
783,CHEMONTID:0002454,0.1748694198802164
2071,CHEMONTID:0004450,0.1743621989069319
1212,CHEMONTID:0001976,0.17434410044514695
1663,CHEMONTID:0003314,0.1741208894356091
91,CHEMONTID:0003675,0.1729975600534188
290,CHEBI:48588,0.1725337338740088
297,CHEMONTID:0002357,0.17253373387400878
153,CHEMONTID:0002551,0.17109843529023136
1309,CHEMONTID:0001766,0.17106993966864598
916,CHEMONTID:0003861,0.17106993966864542
863,CHEMONTID:0000481,0.16957792630213922
951,CHEBI:35992,0.16941690462298337
1274,CHEBI:38127,0.16857080782861167
1275,CHEMONTID:0001190,0.16857080782861164
2049,CHEMONTID:0001871,0.16751517666392265
1434,CHEMONTID:0002210,0.16726168692247717
1433,CHEBI:17522,0.1672616869224771
80,CHEBI:47779,0.1651892453559732
99,CHEMONTID:0000282,0.16518924535596877
174,CHEMONTID:0004707,0.1641828938619139
1874,CHEMONTID:0004802,0.16308541795289233
20,CHEBI:25806,0.16213555240663333
2009,CHEMONTID:0004808,0.1616442512997669
504,CHEMONTID:0001497,0.1590362807904111
1082,CHEMONTID:0002224,0.1582237818862032
798,CHEMONTID:0002329,0.15802004618144008
1334,CHEMONTID:0001634,0.15423747870829876
1276,CHEMONTID:0000056,0.1535229366245847
83,CHEMONTID:0000011,0.15323509988156084
1307,CHEBI:63436,0.15242739453208376
1303,CHEBI:24302,0.15242739453208373
1310,CHEMONTID:0002813,0.15242739453208368
126,CHEBI:26151,0.1505927923704111
754,CHEMONTID:0000168,0.15042971393207347
317,CHEMONTID:0001225,0.14991159581105526
307,CHEBI:22512,0.14991159581105415
375,CHEBI:26588,0.1495261855094682
379,CHEMONTID:0004105,0.1495261855094661
23,CHEBI:51143,0.14950294821237234
104,CHEBI:48901,0.14924231970748938
1812,CHEMONTID:0002924,0.14874937054369042
1817,CHEBI:46699,0.1480384870340849
1129,CHEMONTID:0000095,0.14730653270924748
1006,CHEMONTID:0000215,0.14726177741903776
827,CHEMONTID:0003210,0.14716900891574425
397,CHEBI:26407,0.1467716784925223
1598,CHEMONTID:0002334,0.1452455652804248
905,CHEMONTID:0001852,0.14357086275830241
845,CHEMONTID:0001911,0.1434990433749399
271,CHEBI:33307,0.14343841118255926
749,CHEMONTID:0002634,0.14303478058988575
1291,CHEMONTID:0000475,0.14246870171907355
524,CHEBI:24129,0.141238271307646
1229,CHEMONTID:0003216,0.14050806971920796
1810,CHEMONTID:0001822,0.13986648826997156
292,CHEBI:39447,0.13985498270531682
380,CHEMONTID:0002449,0.13889325588197463
1049,CHEMONTID:0001998,0.1382039987528875
219,CHEMONTID:0000099,0.13711884368359073
896,CHEMONTID:0002411,0.13638577283602088
1333,CHEBI:39270,0.1362032422422795
1688,CHEMONTID:0000205,0.13595036931809895
652,CHEMONTID:0000139,0.13575286101158562
1096,CHEMONTID:0003241,0.13568231457469174
1088,CHEBI:36845,0.13568231457469157
371,CHEMONTID:0003862,0.13502067391622016
361,CHEBI:22327,0.13502067391621744
63,CHEBI:22478,0.13381274214449798
2210,CHEBI:50356,0.13318556091792916
2211,CHEMONTID:0003932,0.1331855609179291
274,CHEMONTID:0001230,0.13293455098298101
273,CHEMONTID:0000510,0.1329345509829807
359,CHEBI:26410,0.13191175875997024
151,CHEMONTID:0004321,0.1313607149139394
142,CHEBI:25985,0.13136071491393705
790,CHEMONTID:0004656,0.1312884733770074
5,CHEBI:36963,0.13107814289499387
1285,CHEMONTID:0004197,0.13076386057538245
73,CHEBI:52782,0.13068809659837505
72,CHEBI:61697,0.13068809659837424
370,CHEMONTID:0001666,0.13056211442425697
84,CHEMONTID:0001675,0.12981068330188497
412,CHEMONTID:0000348,0.12946665903011081
1673,CHEBI:38823,0.12889156700329046
1912,CHEMONTID:0002923,0.12889156700329008
2053,CHEBI:35746,0.12876047621411926
2054,CHEMONTID:0002229,0.12876047621411918
1031,CHEBI:27171,0.12851020806312397
355,CHEMONTID:0001540,0.12777796071531813
180,CHEBI:48378,0.12766253604207115
205,CHEMONTID:0003023,0.12685415168554479
201,CHEBI:46766,0.12685415168553865
986,CHEMONTID:0001236,0.1259702249594083
1024,CHEMONTID:0000115,0.12574066548172363
1721,CHEMONTID:0003989,0.12480164672051099
1128,CHEBI:38914,0.1248016467205108
1130,CHEMONTID:0001232,0.1248016467205108
1111,CHEBI:26819,0.12476497621620748
1113,CHEMONTID:0001185,0.12476497621620748
295,CHEMONTID:0001530,0.12466334711825941
920,CHEMONTID:0001162,0.12465990658412508
1811,CHEMONTID:0004354,0.12449100981738306
725,CHEMONTID:0002312,0.12441147208816372
721,CHEBI:48592,0.12441147208816358
723,CHEBI:35683,0.12417605264713615
529,CHEMONTID:0000050,0.1241003251418233
1784,CHEMONTID:0000018,0.12394670313562375
69,CHEBI:61689,0.12244535790146982
428,CHEMONTID:0003134,0.12211262908847367
128,CHEMONTID:0002239,0.12209859399375356
1287,CHEBI:22177,0.12180594767134019
1290,CHEMONTID:0003223,0.12180594767134009
1385,CHEMONTID:0002516,0.12102947908150338
1384,CHEBI:46844,0.12102947908150337
815,CHEMONTID:0001893,0.12025517076384816
184,CHEBI:38314,0.12022521868766393
363,CHEBI:26144,0.11974802174657045
889,CHEMONTID:0002529,0.11958067560059728
162,CHEMONTID:0000060,0.1195125547221807
2347,CHEBI:38149,0.11842359952524809
2348,CHEMONTID:0003557,0.11842359952524807
1202,CHEBI:29281,0.11811188636489288
486,CHEMONTID:0002648,0.11807226386183713
471,CHEBI:25901,0.11745952698130445
2150,CHEMONTID:0001650,0.11715939611077957
1809,CHEBI:46809,0.11560812754370638
1629,CHEMONTID:0001025,0.11517116511920117
599,CHEMONTID:0002416,0.11450859874530704
595,CHEBI:46767,0.11450859874530697
1036,CHEBI:48684,0.11446084682346813
1037,CHEMONTID:0000317,0.11446084682346787
491,CHEMONTID:0001371,0.11402687882784415
222,CHEMONTID:0001027,0.11309262771713484
2065,CHEMONTID:0002525,0.11295172163521128
107,CHEBI:32876,0.11284010027938894
1073,CHEMONTID:0001286,0.1118793130825324
377,CHEMONTID:0000098,0.1110184702116908
378,CHEMONTID:0001693,0.11101847021169074
320,CHEBI:20857,0.11087793362960208
1322,CHEMONTID:0001122,0.11072216476642613
374,CHEMONTID:0001894,0.11007849560619028
1551,CHEMONTID:0002052,0.10956838394534897
1488,CHEMONTID:0000416,0.10894937266248415
1487,CHEBI:39201,0.10894937266248414
729,CHEMONTID:0003863,0.10871991916558289
492,CHEBI:33704,0.10833131057392831
1979,CHEMONTID:0000231,0.10814071454399074
186,CHEMONTID:0000067,0.10797446300313175
701,CHEMONTID:0000367,0.10723718640373797
1023,CHEMONTID:0000194,0.10654131036521498
1694,CHEMONTID:0004798,0.1062516927474143
1693,CHEBI:35502,0.10625169274741429
766,CHEMONTID:0001248,0.10603285200977752
195,CHEMONTID:0002566,0.10564381217851998
1335,CHEMONTID:0004713,0.10523410497310837
