,Model,Data Type,True Positives (TP),False Positives (FP),True Negatives (TN),False Negatives (FN)
0,Logistic Regression,Test Data,11,1,536,486
1,BernoulliNB,Test Data,482,223,314,15
2,Multinomial Naive Bayes,Test Data,462,95,442,35
3,Linear SVM,Test Data,11,1,536,486
4,k-NN,Test Data,495,103,434,2
5,Random Forest,Test Data,497,1,536,0
6,LDA,Test Data,494,69,468,3
7,SGD Classifier,Test Data,297,178,359,200
8,Lasso Regression,Test Data,436,422,115,61
9,Ridge Regression,Test Data,495,22,515,2
10,Elastic Net,Test Data,435,415,122,62
11,Decision Tree,Test Data,495,14,523,2
12,Gradient Boosting,Test Data,497,0,537,0
