,Model,Data Type,Accuracy,Precision,Recall,F1 Score,ROC AUC,balanced_acc,mcc
0,Logistic Regression,Cross-Validation Data,0.9943 ± 0.0036,0.9890 ± 0.0070,1.0000 ± 0.0000,0.9944 ± 0.0035,1.0000 ± 0.0000,0.9943 ± 0.0037,0.9888 ± 0.0071
1,Logistic Regression,Test Data,0.9950,0.9899,1.0000,0.9949,1.0000,0.9952,0.9901
2,BernoulliNB,Cross-Validation Data,0.9604 ± 0.0114,0.9570 ± 0.0215,0.9657 ± 0.0166,0.9611 ± 0.0110,0.9885 ± 0.0052,0.9603 ± 0.0115,0.9213 ± 0.0226
3,BernoulliNB,Test Data,0.9604,0.9561,0.9626,0.9593,0.9844,0.9604,0.9207
4,Multinomial Naive Bayes,Cross-Validation Data,0.9586 ± 0.0121,0.9342 ± 0.0171,0.9881 ± 0.0100,0.9603 ± 0.0113,0.9938 ± 0.0038,0.9582 ± 0.0121,0.9188 ± 0.0235
5,Multinomial Naive Bayes,Test Data,0.9529,0.9303,0.9762,0.9527,0.9931,0.9536,0.9070
6,Linear SVM,Cross-Validation Data,0.9954 ± 0.0037,0.9910 ± 0.0071,1.0000 ± 0.0000,0.9955 ± 0.0036,1.0000 ± 0.0000,0.9953 ± 0.0037,0.9909 ± 0.0073
7,Linear SVM,Test Data,0.9942,0.9882,1.0000,0.9941,0.9999,0.9944,0.9885
8,k-NN,Cross-Validation Data,0.9313 ± 0.0179,0.8814 ± 0.0279,1.0000 ± 0.0000,0.9367 ± 0.0156,0.9813 ± 0.0075,0.9305 ± 0.0180,0.8711 ± 0.0320
9,k-NN,Test Data,0.9348,0.8816,1.0000,0.9371,0.9864,0.9366,0.8774
10,Random Forest,Cross-Validation Data,0.9979 ± 0.0027,1.0000 ± 0.0000,0.9958 ± 0.0054,0.9979 ± 0.0027,1.0000 ± 0.0000,0.9979 ± 0.0027,0.9958 ± 0.0055
11,Random Forest,Test Data,0.9975,0.9983,0.9966,0.9974,1.0000,0.9975,0.9950
12,LDA,Cross-Validation Data,0.9667 ± 0.0118,0.9388 ± 0.0202,1.0000 ± 0.0000,0.9683 ± 0.0108,0.9819 ± 0.0127,0.9663 ± 0.0120,0.9357 ± 0.0221
13,LDA,Test Data,0.9628,0.9289,1.0000,0.9631,0.9695,0.9639,0.9283
14,SGD Classifier,Cross-Validation Data,0.9972 ± 0.0032,0.9945 ± 0.0062,1.0000 ± 0.0000,0.9972 ± 0.0031,0.9988 ± 0.0025,0.9971 ± 0.0032,0.9944 ± 0.0063
15,SGD Classifier,Test Data,0.9975,0.9949,1.0000,0.9975,0.9995,0.9976,0.9951
16,Lasso Regression,Cross-Validation Data,0.9947 ± 0.0035,0.9897 ± 0.0068,1.0000 ± 0.0000,0.9948 ± 0.0034,0.9996 ± 0.0009,0.9946 ± 0.0036,0.9895 ± 0.0070
17,Lasso Regression,Test Data,0.9942,0.9882,1.0000,0.9941,1.0000,0.9944,0.9885
18,Ridge Regression,Cross-Validation Data,0.9919 ± 0.0056,0.9843 ± 0.0107,1.0000 ± 0.0000,0.9920 ± 0.0055,0.9993 ± 0.0024,0.9918 ± 0.0057,0.9839 ± 0.0110
19,Ridge Regression,Test Data,0.9884,0.9767,1.0000,0.9882,0.9999,0.9888,0.9771
20,Elastic Net,Cross-Validation Data,0.9947 ± 0.0035,0.9897 ± 0.0068,1.0000 ± 0.0000,0.9948 ± 0.0034,0.9997 ± 0.0007,0.9946 ± 0.0036,0.9895 ± 0.0070
21,Elastic Net,Test Data,0.9950,0.9899,1.0000,0.9949,1.0000,0.9952,0.9901
22,Decision Tree,Cross-Validation Data,0.9922 ± 0.0042,0.9883 ± 0.0078,0.9965 ± 0.0041,0.9924 ± 0.0041,0.9922 ± 0.0042,0.9922 ± 0.0042,0.9845 ± 0.0083
23,Decision Tree,Test Data,0.9950,0.9949,0.9949,0.9949,0.9950,0.9950,0.9901
24,Gradient Boosting,Cross-Validation Data,0.9958 ± 0.0030,0.9958 ± 0.0042,0.9958 ± 0.0054,0.9958 ± 0.0030,0.9999 ± 0.0002,0.9958 ± 0.0030,0.9915 ± 0.0060
25,Gradient Boosting,Test Data,0.9975,1.0000,0.9949,0.9974,0.9997,0.9974,0.9951
